sector,GRANTEE,AMOUNT COMMITTED,percentage
equality,Global Health 50/50,4132032.0,0.24
growth,Tanzania Social Action Fund,4125797.0,0.04
health,University of Queensland,4125140.0,0.01
health,PRO-VIDA,4124951.0,0.01
education,University of Minnesota,4124919.0,0.14
others,Bread for the World Institute Inc.,4116924.0,0.11
education,DonorsChoose,4100000.0,0.14
equality,Capital for Good,4100000.0,0.23
education,Stichting GCAP Global Foundation,4100000.0,0.14
health,Argusoft,4098909.0,0.01
health,Bio-Manguinhos,4098550.0,0.01
health,RIGImmune Inc.,4097015.0,0.01
health,SpyBiotech Ltd,4094561.0,0.01
growth,Canadian Foodgrains Bank,4094359.0,0.04
health,Desire Line LLC,4093215.0,0.01
health,University of Alabama,4092240.0,0.01
others,International Center for Research on Women,4091500.0,0.11
health,Yobe State Primary Health Care Management Board,4091223.0,0.01
growth,Genesis Analytics,4091000.0,0.04
health,The Nelson Mandela African Institution of Science and Technology,4087446.0,0.01
education,Harvard T.H. Chan School of Public Health,4085073.0,0.14
growth,"Leica Geosystems, Inc.",4083966.0,0.04
health,Landcent (China) Industrial & Development Co. Ltd.,4082313.0,0.01
growth,Brazilian Agricultural Research Corporation,4077184.0,0.04
growth,University of California San Diego,4075718.0,0.04
others,Seattle Foundation,4067285.0,0.11
growth,Arizona State University Foundation for A New American University,4065881.0,0.04
health,KT Corporation,4064457.0,0.01
others,Smithsonian Institution,4059483.0,0.11
health,Tata Institute of Fundamental Research Hyderabad,4058887.0,0.01
health,TropIQ Health Sciences,4051315.0,0.01
health,CSIRO,4044346.0,0.01
health,Papua New Guinea Institute of Medical Research,4030350.0,0.01
health,Dev-Afrique Development Advisors,4021266.0,0.01
health,Janaagraha Centre for Citizenship and Democracy,4020980.0,0.01
health,James Cook University,4019846.0,0.01
equality,Organisation for Economic Co-operation and Development (OECD),4015621.0,0.23
health,General Incorporated Association Japan Institute for Global Health,4012670.0,0.01
health,Sekkei Bio Private Limited,4001128.0,0.01
health,Hester Biosciences Africa Limited,4000000.0,0.01
growth,Babban Gona Farmer Services Limited,4000000.0,0.04
equality,The World Justice Project,4000000.0,0.23
others,The Carter Center,4000000.0,0.11
others,Clooney Foundation for Justice,4000000.0,0.11
growth,bKash Limited,4000000.0,0.04
equality,Karandaaz Pakistan,4000000.0,0.23
growth,Community Roots Housing Foundation,4000000.0,0.04
others,International AIDS Vaccine Initiative Inc,4000000.0,0.11
growth,Sacred Heart Church and School,4000000.0,0.04
others,African Union Development Agency - New Partnership for Africa’s Development,4000000.0,0.11
equality,HomeNet South Asia Trust,4000000.0,0.23
education,The Malala Fund,4000000.0,0.13
growth,StreetNet International,4000000.0,0.04
growth,Global Green Growth Institute,3997744.0,0.04
growth,"CSIR - Crops Research Institute, Ghana",3995209.0,0.04
others,The Alan Turing Institute,3993643.0,0.11
education,ECOWAS Commission,3993490.0,0.13
others,ETH Zürich,3991879.0,0.11
health,Bhekisisa Development Media NPC,3990182.0,0.01
growth,M-KOPA UK Ltd,3988749.0,0.04
education,Entertainment Industry Foundation,3988208.0,0.13
growth,Johns Hopkins University,3987241.0,0.04
equality,BBC Media Action,3975734.0,0.23
growth,National Bureau of Economic Research Inc.,3972283.0,0.04
growth,Harvard T.H. Chan School of Public Health,3971128.0,0.04
growth,The Conversation Africa,3966002.0,0.04
health,Kasha Global Inc.,3965602.0,0.01
health,Agence Nationale de Recherche sur le Sida et les Hepatites Virales,3962424.0,0.01
growth,BOND,3958582.0,0.04
health,Ustar Biotechnologies,3950795.0,0.01
health,"NovoBiotic Pharmaceuticals, LLC",3948514.0,0.01
health,Sokoto State Primary Health Care Development Agency,3943261.0,0.01
growth,Niruthi Climate & Ecosystems Private Limited,3942262.0,0.04
growth,Mozilla Foundation,3940621.0,0.04
equality,Housing Authority of the City of Seattle,3939817.0,0.22
equality,BRAC USA,3939627.0,0.22
equality,International Development Law Organization,3939404.0,0.22
equality,European Centre for Development Policy Management,3937242.0,0.22
growth,Hospital for Sick Children,3933730.0,0.04
health,Revital Healthcare (EPZ) Limited,3916512.0,0.01
health,Ghana Health Service,3913072.0,0.01
others,PRO-VIDA,3912998.0,0.11
health,Centre for Humanitarian Dialogue,3907003.0,0.01
others,"International Peace Institute, Inc.",3900000.0,0.11
equality,"Leadership Conference Education Fund, Inc.",3899038.0,0.22
health,Eleven Therapeutics LTD,3896026.0,0.01
health,Bigtec Private Limited,3891370.0,0.01
health,American University,3888962.0,0.01
health,Medical Emergency Resilience Foundation,3886863.0,0.01
health,University of Kentucky Research Foundation,3882255.0,0.01
health,"Access Bio, Inc.",3878824.0,0.01
equality,Confederation of Indian Industry,3878535.0,0.22
growth,Kansas State University,3876080.0,0.04
health,"AED-Applied Research and Technical Services, LLC",3874898.0,0.01
others,"Women's World Banking, Inc.",3870045.0,0.11
health,Upswell,3868032.0,0.01
growth,Cooperative League of the USA,3858858.0,0.04
health,DCVMN International,3852440.0,0.01
growth,Peking University,3852195.0,0.04
growth,International Institute of Information Technology Bangalore (IIITB),3848992.0,0.04
growth,Regnology Ireland Ltd,3842519.0,0.04
health,Danisco US Inc.,3840000.0,0.01
growth,Ibaraki University,3829156.0,0.04
health,University of Leeds,3823396.0,0.01
others,International Council of AIDS Service Organizations,3820000.0,0.11
health,American Academy of Pediatrics,3809168.0,0.01
health,"National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention (Chinese Center for Tropical Diseases Research)",3806532.0,0.01
growth,Faecal Sludge Management Alliance,3800508.0,0.04
health,Premium Times Centre for Investigative Journalism,3800357.0,0.01
health,Jalin Foundation,3800000.0,0.01
health,Immorna Biotherapeutics Inc,3800000.0,0.01
growth,ETH Zürich,3794686.0,0.04
growth,Northwestern University,3791842.0,0.04
health,Families USA Foundation,3787642.0,0.01
growth,National Council of Applied Economic Research,3783195.0,0.04
health,Solutions Journalism Network Inc,3781610.0,0.01
health,"Gritstone bio, Inc.",3781387.0,0.01
health,Fundación INFANT,3778931.0,0.01
education,Texas State Library and Archives Commission,3776760.0,0.13
health,Flywheel Exchange INC.,3776000.0,0.01
growth,CONCORD,3773160.0,0.04
health,The Chartered Institute of Procurement and Supply,3762817.0,0.01
education,Emory University,3752369.0,0.13
education,Population Foundation of India,3749995.0,0.13
health,African Risk Capacity,3743568.0,0.01
health,Institut de Recherche en Sciences de la Sante,3742853.0,0.01
health,"AN2 Therapeutics, Inc.",3740375.0,0.01
health,Ecobank,3738300.0,0.01
health,Alliance for Microbicide Development,3734029.0,0.01
growth,The Tomorrow Companies Inc.,3729361.0,0.04
education,International Development Enterprises,3729342.0,0.12
health,Food Health Systems Advisory,3725542.0,0.01
equality,Johns Hopkins University Bloomberg School of Public Health,3719340.0,0.21
growth,"Huawei Software Technologies Co., Ltd.",3708716.0,0.04
health,University of Lausanne,3700284.0,0.01
others,International Center for Not for Profit Law Inc.,3700000.0,0.1
health,International Centre for Genetic Engineering and Biotechnology - India,3695594.0,0.01
education,"University of Sciences, Techniques, and Technologies of Bamako",3691205.0,0.12
growth,"Acceligen, Inc.",3686514.0,0.04
health,Maternity Foundation,3675940.0,0.01
health,Vihara Innovation Network Private Limited,3675813.0,0.01
health,Intersos,3660000.0,0.01
health,Askaan Santé,3659221.0,0.01
health,India Health Action Trust,3653760.0,0.01
health,loveLife Trust,3650050.0,0.01
growth,Lords Education And Health Society,3649973.0,0.03
health,Centre for Sexual Health and HIV and AIDS Research,3649023.0,0.01
others,Centre for Science and Environment,3632274.0,0.1
growth,Trustees of Indiana University,3630470.0,0.03
education,International Development Research Centre,3630000.0,0.12
health,National Institute of Public Finance and Policy,3629203.0,0.01
health,Duke Kunshan University,3627726.0,0.01
equality,Partners Asia,3626626.0,0.21
growth,"Financial Sector Deepening, Kenya",3625736.0,0.03
health,DSM Nutritional Products AG,3624124.0,0.01
others,Transforming Rural India Foundation,3622990.0,0.1
health,Diagnostics for All,3612420.0,0.01
health,Canadian Partnership for Women and Children's Health,3611764.0,0.01
health,International Union for the Scientific Study of Population,3610583.0,0.01
growth,International Fertilizer Development Center (IFDC),3606249.0,0.03
equality,Ministry of Urban Development and Construction: Government of Ethiopia,3603503.0,0.2
growth,University of Manitoba,3600884.0,0.03
equality,Urgent Action Fund - Africa,3600000.0,0.2
growth,theguardian.org,3600000.0,0.03
others,Japan Center for International Exchange,3600000.0,0.1
education,Management Sciences for Health,3599520.0,0.12
health,C-CAMP,3594964.0,0.01
health,Aquaya,3592371.0,0.01
growth,Partners Asia,3591280.0,0.03
health,Loop Medical SA,3583272.0,0.01
education,IDinsight,3568290.0,0.12
health,"Amplitude Therapeutics, Inc.",3567216.0,0.01
health,WETA,3559400.0,0.01
others,Philanthropy Northwest,3549885.0,0.1
health,WRTHY,3548470.0,0.01
health,World Affairs Council of Northern California,3548309.0,0.01
health,University of Colorado,3543549.0,0.01
others,Myriad USA,3538747.0,0.1
health,King George's Medical University,3538563.0,0.01
growth,Urban Institute,3538000.0,0.03
health,Mahidol University,3536487.0,0.01
growth,"Network for Good, Inc.",3535937.0,0.03
health,International Centre for Genetic Engineering and Biotechnology - Italy,3529446.0,0.01
health,Khanyisa Projects,3520711.0,0.01
education,Reading & Writing Foundation,3513711.0,0.12
health,Monell Chemical Senses Center,3512334.0,0.01
health,National Crops Resources Research Institute,3506840.0,0.01
health,African Institute for Mathematical Sciences - Next Einstein Initiative Foundation (AIMS-NEI),3501544.0,0.01
health,J. Craig Venter Institute,3500051.0,0.01
others,African Group of Negotiators Experts Support,3500000.0,0.1
health,Malaria Partners International,3500000.0,0.01
education,The Evergreen State College Foundation,3500000.0,0.12
growth,Saint George's School,3500000.0,0.03
others,Gudina Tumsa Foundation,3500000.0,0.1
growth,The African Climate Foundation Trust,3500000.0,0.03
growth,Project HOPE,3500000.0,0.03
health,"Osmo Labs, PBC",3499489.0,0.01
health,Marie Stopes International - US,3498070.0,0.01
health,"Vital Wave Consulting, Inc.",3497006.0,0.01
growth,International Monetary Fund,3495193.0,0.03
health,HealthNet TPO,3485031.0,0.01
growth,"C16 Biosciences, Inc.",3483402.0,0.03
equality,Development Initiatives Poverty Research Ltd,3478980.0,0.2
others,The Chicago Council on Global Affairs,3475000.0,0.1
others,Tony Blair Institute for Global Change,3472939.0,0.1
education,Center for US Global Leadership,3465000.0,0.12
health,Comanche Biopharma Corp.,3460423.0,0.01
health,Children's Hospital of Philadelphia,3459271.0,0.01
health,"Vaxart, Inc.",3458599.0,0.01
health,Ethiopian Public Health Institute,3453856.0,0.01
health,The DG Murray Trust,3450422.0,0.01
health,The Daily Telegraph,3446801.0,0.01
health,Women in Global Health Inc,3445521.0,0.01
growth,Nutrition International,3440272.0,0.03
health,ICAR-NIVEDI,3439038.0,0.01
growth,United Nations Population Fund,3438792.0,0.03
growth,BCEAO,3428431.0,0.03
growth,Room to Read,3426643.0,0.03
health,"PeriGen, Inc",3419973.0,0.01
education,The Conversation Africa,3417402.0,0.11
education,Flowminder Foundation,3407108.0,0.11
health,New America,3405858.0,0.01
health,Cordaid,3402847.0,0.01
health,TrustAfrica,3400000.0,0.01
others,IDEO.org,3399223.0,0.09
growth,European Network on Debt and Development,3398571.0,0.03
health,Islamic Relief USA,3395000.0,0.01
others,University of Cambridge,3390000.0,0.09
health,Rutgers,3381284.0,0.01
health,Vlaams Instituut voor Biotechnologie,3380345.0,0.01
growth,USAID,3376610.0,0.03
health,Charities Aid Foundation,3374955.0,0.01
growth,Alliance for Innovative Regulation Institute,3372641.0,0.03
education,Public Library of Science,3370416.0,0.11
health,eHealth4everyone,3369491.0,0.01
growth,Institute for Inclusive Digital Africa,3360662.0,0.03
education,Liverpool School of Tropical Medicine,3359419.0,0.11
growth,Global Solidarity Fund,3350000.0,0.03
equality,Stanford University,3344146.0,0.19
others,ideas42,3343018.0,0.09
health,Fogarty International Center,3342122.0,0.01
others,International Finance Corporation,3341010.0,0.09
health,Medicines360,3336862.0,0.01
growth,Ericsson AB,3334129.0,0.03
health,The Hesperian Foundation,3332141.0,0.01
health,National Philanthropic Trust,3330000.0,0.01
equality,International Rescue Committee,3325984.0,0.19
education,"Bibliographical Center for Research, Inc. Rocky Mountain Region",3316759.0,0.11
growth,Asosiasi FinTech Indonesia,3313737.0,0.03
growth,African Academy of Sciences,3311694.0,0.03
health,Health Data Research UK,3304907.0,0.01
health,Gapminder Foundation,3301054.0,0.01
education,International Institute of Information Technology Bangalore (IIITB),3300000.0,0.11
growth,Craft3,3300000.0,0.03
others,Population Action International,3300000.0,0.09
health,Institut de Cardiologie de Montréal,3300000.0,0.01
education,Allan & Gill Gray Philanthropy Africa,3299756.0,0.11
others,Equality Now Inc,3297470.0,0.09
growth,Africa Resource Centre NPC,3295141.0,0.03
health,VaxTrac,3294741.0,0.01
health,Practical Action,3291011.0,0.01
growth,Co-Creation Hub,3289378.0,0.03
education,LEV Foundation,3289208.0,0.11
health,Mindset Almanhajiah Marketing Consultancies,3287318.0,0.01
growth,Colombia Ministry of Culture,3286334.0,0.03
health,"Institut National de la Recherche pour l'Agriculture, l'Alimentation et l'Environnement",3286240.0,0.01
health,Council on Foreign Relations,3282327.0,0.01
others,Liverpool School of Tropical Medicine,3276471.0,0.09
growth,National Library of South Africa,3271996.0,0.03
health,University of Siena,3260314.0,0.01
growth,IMAGO Global Grassroots,3256889.0,0.03
health,"STEMCELL Technologies Canada, Inc",3253955.0,0.01
health,"Achaogen, Inc",3253583.0,0.01
health,"KPC Pharmaceuticals, Inc",3251532.0,0.01
health,Ipsos Mori UK Limited,3250953.0,0.01
growth,Future Advocacy Ltd,3250004.0,0.03
education,"Rural Education and Development, Inc",3250000.0,0.11
growth,World Health Organization Regional Office for the Eastern Mediterranean,3248787.0,0.03
health,Institute for Stem Cell Science and Regenerative Medicine,3248142.0,0.01
equality,Women in Film,3246977.0,0.18
health,"YaoPharma Co., Ltd.",3243291.0,0.01
health,Almac Sciences Ltd,3240433.0,0.01
growth,Philanthropy Northwest,3239947.0,0.03
growth,Speak Up Africa Senegal,3237970.0,0.03
health,"Guangzhou Pluslife Technology Co., Ltd.",3237400.0,0.01
health,DelSiTech Ltd,3236523.0,0.01
health,Uganda Virus Research Institute,3228627.0,0.01
health,"National Institute of Health Islamabad, Pakistan",3220493.0,0.01
growth,Syngenta Foundation East Africa,3220324.0,0.03
others,AMREF Health Africa,3210000.0,0.09
growth,European Centre for Development Policy Management,3203945.0,0.03
health,"College of Medicine, University of Ibadan",3200527.0,0.01
others,Graça Machel Trust,3200000.0,0.09
others,International Budget Partnership,3200000.0,0.09
growth,International Medical Corps,3200000.0,0.03
